participant,xdf_file,round_index,condition,condition_group,predictability,start_xdf_time,end_xdf_time,duration_sec,marker_stream,eda_stream,hr_stream,eda_n_samples,eda_mean,eda_median,eda_sd,eda_min,eda_max,eda_range,eda_start,eda_end,eda_change,eda_slope,eda_baseline_n_samples,eda_local_baseline,delta_eda_local,hr_n_samples,hr_mean,hr_median,hr_sd,hr_min,hr_max,hr_range,hr_start,hr_end,hr_change,hr_slope,hr_baseline_n_samples,hr_local_baseline,delta_hr_local
P06,labrecorder_P06.xdf,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Predictable,99989.12556610453,100029.44499029663,40.319424192100996,Triggers,EDA,HR,604.0,0.5623327804519641,0.5639730095863342,0.0073182511398789145,0.545894980430603,0.576816976070404,0.030921995639801025,0.5594099760055542,0.5459809899330139,-0.013428986072540283,-0.000543399783845431,225.0,0.5510518929693434,0.011280887482620683,55.0,82.8,82.0,3.8171154515380294,76.0,92.0,16.0,83.0,81.0,-2.0,-0.2511825675488498,20.0,81.25,1.5499999999999972
P06,labrecorder_P06.xdf,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Mixed,100084.50606338584,100135.69512527582,51.18906188997789,Triggers,EDA,HR,766.0,0.5587047896403868,0.5590940117835999,0.008604804634382944,0.544605016708374,0.7409240007400513,0.19631898403167725,0.5677239894866943,0.5453789830207825,-0.022345006465911865,-0.000312429069319822,225.0,0.5537540753682454,0.004950714272141443,65.0,79.07692307692308,78.0,2.774367564800199,76.0,86.0,10.0,85.0,77.0,-8.0,-0.09134602600225146,20.0,79.85,-0.7730769230769141
P06,labrecorder_P06.xdf,7,C7_Audio_Unpredictable,Audio only,Unpredictable,100181.32031716686,100217.79600165972,36.475684492863365,Triggers,EDA,HR,546.0,0.5843448864889669,0.586555004119873,0.008640991547658478,0.5609989762306213,0.6015059947967529,0.04050701856613159,0.5609989762306213,0.5695949792861938,0.00859600305557251,-0.0006228137219549185,225.0,0.5556012596024408,0.028743626886526097,48.0,79.85416666666667,80.0,1.5843595032255124,77.0,84.0,7.0,84.0,80.0,-4.0,-0.03794017411908875,20.0,80.8,-0.9458333333333258
P06,labrecorder_P06.xdf,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Mixed,100275.81761634833,100313.13479414103,37.31717779270548,Triggers,EDA,HR,559.0,0.6146976814500335,0.615041971206665,0.009572250396625695,0.5965750217437744,0.6424139738082886,0.04583895206451416,0.6266360282897949,0.5976070165634155,-0.029029011726379395,-0.000844264612628534,224.0,0.6131499002554587,0.001547781194574771,48.0,78.4375,78.0,2.5256661223728933,73.0,84.0,11.0,80.0,75.0,-5.0,-0.14903853572362147,19.0,79.63157894736842,-1.1940789473684248
P06,labrecorder_P06.xdf,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Unpredictable,100371.19959502966,100410.80329662187,39.603701592219295,Triggers,EDA,HR,593.0,0.6364987125686208,0.6346889734268188,0.011495551337909997,0.6209530234336853,0.6597620248794556,0.038809001445770264,0.6248239874839783,0.6229100227355957,-0.0019139647483825684,-0.0009021891953103894,224.0,0.6141351136778083,0.02236359889081252,53.0,82.32075471698113,82.0,2.4944059328645802,78.0,89.0,11.0,79.0,80.0,1.0,-0.05307754032830684,19.0,79.0,3.320754716981128
P07,labrecorder_P07.xdf,1,C1_No_Distraction,No distraction,None,689.3697014384743,760.4681735257823,71.09847208730798,Triggers,EDA,HR,1068.0,2.9669251011105513,2.9547860622406006,0.08265853482428512,2.782377004623413,3.167283058166504,0.3849060535430908,2.782377004623413,3.1643869876861572,0.38200998306274414,0.0036406249262867585,226.0,2.723972895504099,0.24295220560645214,118.0,117.0677966101695,115.0,23.461817977213226,73.0,174.0,101.0,73.0,135.0,62.0,0.6444719776416564,17.0,104.17647058823529,12.891326021934205
P07,labrecorder_P07.xdf,2,C2_Visual_Predictable,Visual only,Predictable,870.6727760611121,952.9344208621284,82.26164480101625,Triggers,EDA,HR,1235.0,3.693730106817083,3.6582870483398438,0.09871280945089837,3.460542917251587,3.893095016479492,0.4325520992279053,3.5566680431365967,3.893095016479492,0.3364269733428955,0.003610733447427443,226.0,3.5957116911896563,0.09801841562742686,136.0,120.01470588235294,118.0,28.83182020284447,80.0,258.0,178.0,89.0,118.0,29.0,0.052439495268400166,21.0,91.28571428571429,28.72899159663865
P07,labrecorder_P07.xdf,3,C3_Visual_Unpredictable,Visual only,Unpredictable,1065.028937499779,1124.9609292733746,59.931991773595655,Triggers,EDA,HR,901.0,3.9331867282054533,3.93072509765625,0.06069956822450849,3.603005886077881,4.356729030609131,0.75372314453125,3.9509449005126953,4.038641929626465,0.08769702911376953,3.445571966296891e-05,225.0,3.8913211599985758,0.04186556820687759,88.0,101.32954545454545,96.5,17.53402052163401,78.0,157.0,79.0,96.0,89.0,-7.0,-0.10148188625477936,25.0,120.12,-18.79045454545455
P07,labrecorder_P07.xdf,4,C4_Audio_Predictable,Audio only,Predictable,1188.6285543515578,1230.2534034026726,41.62484905111478,Triggers,EDA,HR,625.0,4.362548094177246,4.378800868988037,0.07409768295868972,4.036262035369873,4.46074104309082,0.42447900772094727,4.038641929626465,4.40109920501709,0.362457275390625,0.002527570061307335,225.0,3.983545791837904,0.37900230233934185,65.0,102.92307692307692,98.0,15.507364875587838,75.0,137.0,62.0,75.0,116.0,41.0,-0.1567244609383732,20.0,86.8,16.123076923076923
P07,labrecorder_P07.xdf,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Predictable,1290.6375092768235,1332.3288060280197,41.691296751196205,Triggers,EDA,HR,626.0,4.9181269601511115,4.935102939605713,0.059737289389078144,4.738932132720947,5.013837814331055,0.2749056816101074,4.7519707679748535,4.974184036254883,0.2222132682800293,0.004179351400353169,226.0,4.763823977613871,0.1543029825372404,61.0,96.18032786885246,95.0,13.45177583904979,71.0,138.0,67.0,85.0,96.0,11.0,0.5340131757539988,21.0,93.04761904761905,3.1327088212334075
